City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,puerto ayora,-0.7393,-90.3518,22.53,92,93,4.02,EC,1728244412
111,alice springs,-23.7,133.8833,13.75,51,2,0.0,AU,1728244413
112,saipan,15.1355,145.701,27.39,83,100,8.23,MP,1728244414
113,isafjordur,66.0755,-23.124,-0.19,78,21,3.15,IS,1728244415
114,atafu village,-8.5421,-172.5159,28.04,73,67,4.63,TK,1728244417
115,hami,42.8,93.45,15.72,24,0,2.01,CN,1728244418
116,fallon,39.4735,-118.7774,27.84,27,20,2.57,US,1728244215
117,al ghayzah,16.2079,52.176,25.5,88,65,3.6,YE,1728244421
118,sitka,57.0531,-135.33,11.94,66,75,12.35,US,1728244273
119,motueka,-41.1333,173.0167,13.94,89,99,0.35,NZ,1728244423
120,bethel,41.3712,-73.414,22.79,51,0,3.09,US,1728244424
121,crane,31.3974,-102.3501,31.25,22,41,4.78,US,1728244425
122,jaipur,26.9167,75.8167,25.62,69,40,2.06,IN,1728244426
123,berezovyy,51.6667,135.7,1.21,69,2,2.08,RU,1728244428
124,hobyo,5.3505,48.5268,25.07,89,65,9.71,SO,1728244429
125,saldanha,-33.0117,17.9442,22.03,75,100,2.57,ZA,1728244430
126,lebu,-37.6167,-73.65,12.31,77,98,7.45,CL,1728244431
127,tura,25.5198,90.2201,22.77,88,15,1.31,IN,1728244432
128,undurkhaan,47.3194,110.6556,3.07,61,0,2.97,MN,1728244433
129,longyearbyen,78.2186,15.6401,-3.09,100,75,5.14,SJ,1728244434
130,dongola,19.1667,30.4833,30.95,13,1,6.7,SD,1728244435
131,nisa,43.7031,7.2661,17.89,82,75,3.09,FR,1728244437
132,broome,42.2506,-75.833,23.68,45,0,4.12,US,1728244438
133,fortuna,40.5982,-124.1573,26.07,56,20,1.54,US,1728244439
134,touros,-5.1989,-35.4608,25.29,75,7,6.05,BR,1728244324
135,badger,64.8,-147.5333,4.09,76,0,0.0,US,1728244441
136,maysville,38.6412,-83.7444,30.83,48,40,5.66,US,1728244238
137,kolonia town,6.964,158.206,26.0,94,100,0.0,FM,1728244443
138,bousso,10.4795,16.7117,23.26,90,100,1.88,TD,1728244445
